movieId,imdbId,tmdbId
7303,,7303
8963,,8963
1402,,1402
9315,,9315
8984,,8984
795,,795
24,,24
11353,,11353
393,,393
9618,,9618
9374,,9374
8584,,8584
2320,,2320
58224,,58224
1729,,1729
175574,,175574
8077,,8077
8818,,8818
8195,,8195
10586,,10586
116149,,116149
80035,,80035
10632,,10632
12117,,12117
1792,,1792
13260,,13260
72197,,72197
3580,,3580
12123,,12123
9566,,9566
9833,,9833
4517,,4517
8202,,8202
16072,,16072
34314,,34314
19724,,19724
145220,,145220
14623,,14623
42297,,42297
2841,,2841
802,,802
10375,,10375
36586,,36586
11321,,11321
70074,,70074
242,,242
9621,,9621
1819,,1819
8536,,8536
8046,,8046
1717,,1717
479,,479
9444,,9444
824,,824
11456,,11456
261023,,261023
3683,,3683
22803,,22803
285923,,285923
39437,,39437
1950,,1950
640,,640
97630,,97630
9767,,9767
11631,,11631
32856,,32856
6519,,6519
8741,,8741
49520,,49520
1850,,1850
524,,524
26389,,26389
11817,,11817
2123,,2123
9907,,9907
9969,,9969
18239,,18239
808,,808
38050,,38050
8367,,8367
9390,,9390
72105,,72105
2898,,2898
10312,,10312
109443,,109443
2022,,2022
37686,,37686
462,,462
9919,,9919
187017,,187017
628,,628
10201,,10201
302699,,302699
9441,,9441
274167,,274167
224141,,224141
388,,388
2112,,2112
10329,,10329
74465,,74465
13811,,13811
6877,,6877
10320,,10320
50646,,50646
8920,,8920
13673,,13673
60308,,60308
6950,,6950
225574,,225574
13836,,13836
752,,752
6038,,6038
9975,,9975
11451,,11451
12103,,12103
60304,,60304
2251,,2251
46529,,46529
231,,231
300671,,300671
228326,,228326
9754,,9754
66,,66
4421,,4421
2649,,2649
588,,588
10393,,10393
71552,,71552
9631,,9631
216282,,216282
306,,306
928,,928
205587,,205587
6623,,6623
1577,,1577
9801,,9801
2116,,2116
9624,,9624
14199,,14199
1907,,1907
4599,,4599
22832,,22832
10390,,10390
9879,,9879
38579,,38579
44603,,44603
11892,,11892
9691,,9691
1248,,1248
12220,,12220
72710,,72710
10782,,10782
9573,,9573
4959,,4959
10061,,10061
10386,,10386
421,,421
316152,,316152
11615,,11615
13498,,13498
241554,,241554
2252,,2252
11968,,11968
10047,,10047
38319,,38319
69668,,69668
9770,,9770
11212,,11212
10533,,10533
38363,,38363
9923,,9923
11863,,11863
18501,,18501
109491,,109491
9275,,9275
329833,,329833
12634,,12634
10416,,10416
47327,,47327
15268,,15268
10796,,10796
9548,,9548
18947,,18947
1900,,1900
89,,89
96724,,96724
198184,,198184
9481,,9481
4547,,4547
53953,,53953
6415,,6415
181283,,181283
9896,,9896
167,,167
11232,,11232
1636,,1636
2148,,2148
5176,,5176
260346,,260346
1389,,1389
9894,,9894
7504,,7504
8592,,8592
913,,913
11091,,11091
1368,,1368
593,,593
5393,,5393
9095,,9095
8874,,8874
11467,,11467
320,,320
199,,199
20533,,20533
10684,,10684
1624,,1624
325789,,325789
113464,,113464
888,,888
82675,,82675
4256,,4256
1493,,1493
88751,,88751
11130,,11130
9944,,9944
10731,,10731
7350,,7350
9869,,9869
4379,,4379
146233,,146233
2034,,2034
926,,926
4248,,4248
64328,,64328
36647,,36647
7214,,7214
1537,,1537
9360,,9360
6282,,6282
508,,508
9487,,9487
768,,768
2636,,2636
10478,,10478
27983,,27983
9981,,9981
7453,,7453
15045,,15045
7737,,7737
232672,,232672
17379,,17379
8987,,8987
11359,,11359
82525,,82525
9759,,9759
9486,,9486
9906,,9906
841,,841
4688,,4688
4148,,4148
2207,,2207
9381,,9381
9625,,9625
9304,,9304
20856,,20856
5955,,5955
9899,,9899
9826,,9826
21355,,21355
10858,,10858
11439,,11439
9457,,9457
12412,,12412
1494,,1494
13184,,13184
2185,,2185
6639,,6639
38153,,38153
58233,,58233
116977,,116977
68734,,68734
